Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	R0.t:h3n2_2deme.1	R0.t:h3n2_2deme.2	samplingProportion.t:h3n2_2deme.1	samplingProportion.t:h3n2_2deme.2	samplingProportion.t:h3n2_2deme.3	samplingProportion.t:h3n2_2deme.4	becomeUninfectiousRate.t:h3n2_2deme.1	becomeUninfectiousRate.t:h3n2_2deme.2	rateMatrix.t:h3n2_2deme.1	rateMatrix.t:h3n2_2deme.2	geo-frequencies.t:h3n2_2deme.1	geo-frequencies.t:h3n2_2deme.2	clockRate.c:h3n2_2deme	gammaShape.s:h3n2_2deme
24000	-4867.809373973943	-4744.898401704543	-122.9109722694005	-4744.898401704543	7.7140165051825225	52.073859600479345	8	15	37	22	1	1.0042548846619812	0.9831572284892395	0.0	6.781414599802383E-4	0.0	0.0018957630362641349	47.10968755646936	47.10968755646936	0.48056846650685087	1.1155969173054212	0.7578537663505841	0.24214623364941604	0.0022631809400510835	5.497422266295292
25000	-4862.986179068857	-4738.57193522077	-124.41424384808722	-4738.57193522077	7.802464754664204	51.07460540151753	7	12	35	24	1	1.0028716193676617	0.9908269686143152	0.0	9.40814497359078E-4	0.0	0.003350121967550045	34.82713878807067	34.82713878807067	0.3616412505458656	1.2673791271281534	0.7122888278351815	0.28771117216481856	0.002179288005554214	6.157812605078521
26000	-4866.782497364911	-4738.846434292305	-127.93606307260552	-4738.846434292305	7.642502847417269	51.069548265798915	11	18	36	23	0	1.0095646094405157	0.9892265597785297	0.0	0.0013068296571125625	0.0	0.0035411983250320197	29.2036612509037	29.2036612509037	0.4409295926248108	1.3893418862057372	0.7122888278351815	0.28771117216481856	0.0025762609784628103	6.062073596153885
27000	-4856.92568354032	-4733.687808742278	-123.23787479804214	-4733.687808742278	7.521192097100949	50.41459292654095	6	15	38	21	0	1.0115424922995775	0.9595025193867008	0.0	0.001119598114452111	0.0	0.0037498090887971465	31.305745792263078	31.305745792263078	0.31373802456195005	0.9705148066997599	0.6778973095922367	0.3221026904077634	0.0022746644162409037	6.29128768460296
28000	-4869.706918252878	-4739.866803649922	-129.84011460295537	-4739.866803649922	7.402610774675766	50.14493384225253	14	16	32	27	1	1.0059958631314827	1.0409860207238668	0.0	0.001278113875346672	0.0	0.003918631122107428	26.48747047247784	26.48747047247784	0.3215235081058685	0.9187413172911952	0.6778973095922367	0.3221026904077634	0.0025018921581734513	6.29128768460296
29000	-4860.295803289195	-4741.18378506025	-119.1120182289448	-4741.18378506025	7.304751012788026	49.53290912699263	6	13	36	23	0	0.9976243257591171	1.0131332042140213	0.0	0.0010277049010335485	0.0	0.0024048501166860185	36.203894942345485	36.203894942345485	0.30707694071478986	0.49032160629792604	0.7209160721957183	0.2790839278042819	0.0024693178576102965	6.29128768460296
30000	-4845.828859277356	-4735.281101570729	-110.54775770662657	-4735.281101570729	7.122832495012916	46.311994337348686	3	12	38	21	0	1.0214215190033415	1.042020683269545	0.0	0.00196780505588103	0.0	0.005479854939415376	19.690351411920144	19.690351411920144	0.20259842640746573	0.5220650663529581	0.52315881268826	0.4768411873117401	0.0024286825823291104	6.29128768460296
31000	-4842.365034518902	-4735.430849056942	-106.93418546195986	-4735.430849056942	7.091729755866129	45.765068706558445	3	15	41	18	0	1.0130832737503122	0.9896215590949119	0.0	0.0012357776250609227	0.0	0.0057745308222217386	27.09770410325327	27.09770410325327	0.25700943193338543	0.5295875373955884	0.52315881268826	0.4768411873117401	0.0026962732674070894	6.29128768460296
32000	-4840.571421141832	-4743.529001690385	-97.04241945144676	-4743.529001690385	7.098062485246989	44.102077839075804	3	16	42	17	0	1.029573651246058	0.9602815774374707	0.0	7.815961683088576E-4	0.0	0.005001199434130416	32.547306655063515	32.547306655063515	0.287092007253699	0.6552220649909808	0.52315881268826	0.4768411873117401	0.0023701944085931822	6.29128768460296
33000	-4828.45899860012	-4734.994874854182	-93.46412374593815	-4734.994874854182	7.039291345711697	45.20274757645957	2	14	41	18	0	1.0063045053672683	0.99846576035829	0.0	4.499516187841934E-4	0.0	0.004061080382028602	46.44345154054792	46.44345154054792	0.1971154414274162	0.8298654459161049	0.52315881268826	0.4768411873117401	0.0030030242635753594	4.044999928369289
